Target,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB],CcdRow[1-7],Fov[FovP=preceding/FovF=following],scanAngle[rad],parallaxFactorAlongScan,CcdStrip[1-11],transitid,mjd,psi_deg,spsi_obs,cpsi_obs,ppfact_obs,theta,ref_epoch,centroidPosAl_mas,centroidPosAlError_mas,relative_time_year,source_id,sigma_da_mas,da_mas,strip
HD40503,2457619.6526041897,6,FoVP,1.8740210614550348,0.6736074796880437,5,34,57619.1526041897,107.37349754000017,0.954378549297549,-0.29859937146736587,0.6736074796880437,107.37349754000017,2016.0,-65.04401155376154,0.18376943936023704,0.6314924139348429,2884087104955208064,0.18376943936023704,-65.04401155376154,5
HD40503,2457619.652656273,6,FoVP,1.8740210614550348,0.6736074796880437,6,34,57619.152656272985,107.37349754000017,0.954378549297549,-0.29859937146736587,0.6736074796880437,107.37349754000017,2016.0,-65.20342483374606,0.14270040899370315,0.631492556531102,2884087104955208064,0.14270040899370315,-65.20342483374606,6
HD40503,2457619.6527083567,6,FoVP,1.8740210614550348,0.6736074796880437,7,34,57619.152708356734,107.37349754000017,0.954378549297549,-0.29859937146736587,0.6736074796880437,107.37349754000017,2016.0,-65.33885694068103,0.13801042469195995,0.6314926991286361,2884087104955208064,0.13801042469195995,-65.33885694068103,7
HD40503,2457619.65276044,6,FoVP,1.8740210614550348,0.6736074796880437,8,34,57619.15276044002,107.37349754000017,0.954378549297549,-0.29859937146736587,0.6736074796880437,107.37349754000017,2016.0,-65.07364398824184,0.126898272305911,0.6314928417248954,2884087104955208064,0.126898272305911,-65.07364398824184,8
HD40503,2457619.652812524,6,FoVP,1.8740210614550348,0.6736074796880437,9,34,57619.15281252377,107.37349754000017,0.954378549297549,-0.29859937146736587,0.6736074796880437,107.37349754000017,2016.0,-65.42621215589331,0.16518689356669924,0.6314929843224294,2884087104955208064,0.16518689356669924,-65.42621215589331,9
HD40503,2457619.6528646066,6,FoVP,1.8740210614550348,0.6736074796880437,10,34,57619.152864606585,107.37349754000017,0.954378549297549,-0.29859937146736587,0.6736074796880437,107.37349754000017,2016.0,-65.38728202414876,0.1234660000090636,0.6314931269174137,2884087104955208064,0.1234660000090636,-65.38728202414876,10
HD40503,2457619.65291669,6,FoVP,1.8740210614550348,0.6736074796880437,11,34,57619.15291668987,107.37349754000017,0.954378549297549,-0.29859937146736587,0.6736074796880437,107.37349754000017,2016.0,-65.19487310119645,0.15763451506738985,0.6314932695136729,2884087104955208064,0.15763451506738985,-65.19487310119645,11
HD40503,2457619.726511088,5,FoVF,1.8729977907644408,0.6752706608456571,2,35,57619.2265110882,107.3148684481297,0.95468359757259,-0.29762262771143094,0.6752706608456571,107.3148684481297,2016.0,-65.19649201475369,0.6264825402976013,0.6316947599950716,2884087104955208064,0.6264825402976013,-65.19649201475369,2
HD40503,2457619.726563171,5,FoVF,1.8729977907644408,0.6752706608456571,3,35,57619.22656317102,107.3148684481297,0.95468359757259,-0.29762262771143094,0.6752706608456571,107.3148684481297,2016.0,-65.2346325439583,0.12758089466530143,0.6316949025900559,2884087104955208064,0.12758089466530143,-65.2346325439583,3
HD40503,2457619.7266152543,5,FoVF,1.8729977907644408,0.6752706608456571,4,35,57619.2266152543,107.3148684481297,0.95468359757259,-0.29762262771143094,0.6752706608456571,107.3148684481297,2016.0,-65.20584808339139,0.15622732312633775,0.631695045186315,2884087104955208064,0.15622732312633775,-65.20584808339139,4
HD40503,2457619.7266673376,5,FoVF,1.8729977907644408,0.6752706608456571,5,35,57619.226667337585,107.3148684481297,0.95468359757259,-0.29762262771143094,0.6752706608456571,107.3148684481297,2016.0,-65.45804010654011,0.14894430071622355,0.6316951877825743,2884087104955208064,0.14894430071622355,-65.45804010654011,5
